question,answer,answer_html,link,name,source,category,country,region,city,lang,last_update
How can I protect myself ,"The best way to prevent illness from COVID-19 is to avoid being exposed to the virus and use good hand hygiene. Common sense precautions that prevent the spread of flu will also help prevent the spread of COVID-19. Please do the following: Stay home if you are sick. Avoid close contact with people who are sick. Cover cough and sneeze. Avoid touching your eyes, nose, and mouth. Wash your hands often with soap and water for at least 20 seconds, especially after going to the bathroom, before eating and after blowing your nose, coughing or sneezing. If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty. The Centers for Disease Control and Prevention (CDC) does not recommend that people who are well to wear a facemask to protect themselves from respiratory diseases, including COVID-19. Facemasks should only be worn by persons who are sick or persons caring for them. Clean and disinfect frequently touched objects and hard surfaces using a regular household cleaning spray or wipe.",,,,,,,,,,
where was the corona virus originated,"It was first found in Wuhan City, Hubei Province, China. The first cases are linked to a live animal market but now COVID-19 is able to spread person-to-person.",,,,,,,,,,
how many death in italy?,This interactive map by the Johns Hopkins University provides updated information by country about the number of confirmed Covid19 cases and deaths: https://coronavirus.jhu.edu/map.html.,,,,,,,,,,
How fast does the virus spread,"It is able to spread person-to-person. The spread can also be through respiratory droplets released when you sneeze, cough, or talk. Respiratory droplets may also be passed from person-to-person through commonly used surfaces such as door nobs, elevator buttons and bathroom faucets.  [[Would you like more information?]] Among viruses, some are more contagious than others; for example, measles is so contagious that if one person has it, 9 out of 10 people of ALL ages around them will also become infected if they are not protected. COVID-19 is able to spread easily in the community, which is called ""community spread"".   [[Would you like more information on how you can avoid getting infected with the virus that causes Covid19?]] Socially distancing is a practice that aims to prevent those who are sick from coming into contact with those who are healthy. This is to reduce the opportunity for disease transmission. It means avoiding crowds, mass gatherings, and maintaining at least a 6 foot distance fom others. This means no handshakes, hugs, or high-fives. It is also important to practice frequent hand-washing with soap and water or an alcohol-based (at least 60%) hand sanitizer.",,,,,,,,,,
What to do if i am infected,If you've tested positive for COVID19 and are pregnant - it is important that you notify the obstetric unit / hospital prior to your arrival. This is so that the healthcare facility can prepare for your arrival.,,,,,,,,,,
how long does the coronavirus stay on cardboard,"A recent study shows that the virus can live in the air and on surfaces from several hours to several days. On plastic, it can live for up to 72 hours (3 days). On stainless steel, it can live for up to 48 hours (2 days). On cardboard, it can live up to 24 hours (1 day). On copper, it can live up to four hours. It is detectable in the air for up to three hours. However, the amount of virus that remains is quite minimal - so the risk is still relatively low to contract COVID19 from these surfaces.  It is still important to regularly clean and disinfect high-touch surfaces as well as packages and mail that come through. Remember to wash your hands frequently with soap and water or an alcohol based hand sanitizer (60%). ",,,,,,,,,,
what is my level of risk?,"It does not look like pregnant women are more at risk of developing severe illness than other healthy adults from coronavirus. Currently, it is expected that most pregnant women will likely experience only mild to moderate cold and flu - like symptoms.",,,,,,,,,,
what is coronavirus,"Coronavirus are a type of virus - there are many kinds, and some of them can cause disease. Examples of coronaviruses include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrome (MERS-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   COVID19 is a novel coronavirus that has been recently identified.   [[Would you like more information on COVID19?]] [[Would you like to know the symptoms of COVID19?]]    ",,,,,,,,,,
Can my dog/cat/pet/animal get COVID-19?,"While this virus did emerge from an animal source, it is only passing person-to-person currently. Currently, there is no evidence that shows a pet can become sick with COVID-19... but animals can spread disease to people, and people can spread disease to animals. So it is important to always wash your hands before and after interacting with animals.",,,,,,,,,,
symptoms of coronavirus in us,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",,,,,,,,,,
