question,answer
What are the clinical symptoms of pertussis?,"apnea, cyanosis, cough with vomit, or whoop/whooping cough"
What type of swabs are used to sample patients with pertussis?,mid-nasal nylon flocked
How frequently do pertussis outbreaks peak?,every 2 to 4 years
What is the WHO criteria for a pertussis infection?,"a minimum of 2 weeks of cough, whoop, or posttussive vomiting"
What is used by the Canadian Public Health System to identify periods of influenza activity?,weekly proportion of laboratory tests that are positive for influenza
Why is laboratory confirmation of influenza infection not commonly performed?,"diagnosis will often not alter patient management, a paucity of real-time, accurate, inexpensive testing methods [4] and because influenza is not recognized as the etiology of the clinical presentation"
What types of viral infections are monitored through Canada's Respiratory Virus Detection Surveillance System (RVDSS)?,"nfluenza, respiratory syncytial virus (RSV), para-influenza virus (PIV), and adenovirus"
What is discussed in this publication?,"the potential anti-virus activity of inositol-requiring enzyme 1 (IRE1), a well characterized effector of the cellular homeostatic response to an overloading of the endoplasmic reticulum (ER) protein-folding capacity. IRE1, an ER-membrane-resident ribonuclease (RNase), upon activation catalyses regulated cleavage of select protein-coding and non-coding host RNAs, using an RNase domain which is homologous to that of the known anti-viral effector RNaseL. "
What is discussed in this publication?,The review first discusses the anti-viral mechanism of the OAS/RNaseL system and evasion tactics employed by different viruses. This is followed by a review of the RIDD pathway and its potential effect on the stability of viral RNAs. 
What is reported in this publication?,comparison of the enzymatic activity of the two RNases followed by deliberations on the physiological consequences of their activation.
What is the conclusion regarding IRE1 and RNaseL proteins?,"In the context of a virus infection, the pathway leading from both these proteins have the potential to lead to cell death. Notwithstanding the fact that this might be an efficient way of virus clearance, it also portends pathological outcomes for the infected organism. Future research would probably lead to design of drugs targeting these proteins based on the structural homology of their effector domains, regulating the pathological denouement of their activation without compromising their anti-viral or potential anti-viral functions."
What is the structure of an Echovirus?,"nonenveloped, single-stranded, positive-sense RNA"
What diseases are associated with echoviruses?,"respiratory illness, hand-foot-and-mouth disease, and aseptic meningitis,"
"In California, to where are meningitis cases reported according to the California Code of Regulations?",California Department of Public Health (CDPH)
"According to the California Code of Regulations, when should a meningitis case be reported?",within 1 day of identification
Where is the Viral and Rickettsial Disease Laboratory located?,CDPH
What type of reference genome was used in the study?,E-30
What was the read coverage for the E-30 genome in this study?,260-fold
What are the structural regions of the enterovirus polyprotein in this study?,one structural (P1-capsid) and two nonstructural (P2 and P3) regions
What can nuclear receptors regulate?,"homeostasis, differentiation, embryonic development, and organ physiology"
"What are associated with cancer, diabetes, inflammatory disease, and osteoporosis?",Nuclear receptors (NRs)
What are nuclear receptors (NRs)?,class of ligand-inducible transcription factors
What biological factors for nuclear receptors regulate?,"homeostasis, differentiation, embryonic development, and organ physiology"
How many families are in the NR superfamily?,seven
What is a prerequisite to make a molecular docking study feasible?,a reliable 3D (three dimensional) structure of the target protein
What tool can be used to determine the 3D structure of proteins?,X-ray crystallography
What are the shortcomings of X-ray crystallography?,time-consuming and expensive
What types of proteins are difficult to crystallize?,membrane proteins
Where were the data collected for this study?,KEGG (Kyoto Encyclopedia of Genes and Genomes)
Who performed the sampling procedures?,veterinarians
When were the fecal samples collected?,from November 2004 to November 2014
What reference genome was used in the study?,BatCoV HKU10
What is the length of the replicase gene ORF1ab?,20.4 kb
What type of coronavirus was detected in R. affinis and R. sinicus species?,BtCoV/Rh/YN2012
What is a natural reservoir of coronavirus?,Bats
What is the genome size of the coronavirus?,26-32 kb
What is the structure of the coronavirus?,"enveloped, non-segmented, positive-strand RNA viruses"
What animals do gamma and delta coronavirus mainly infect?,birds
How many types of coronaviruses are known to cause human disease?,Six
What plays a role in regulating the immune response to a viral infection?,NF-κB
What is the conclusion of the coronavirus long-term surveillance studies?,Rhinolophus bats seem to harbor a wide diversity of CoVs
What is the cause of Feline Infectious Peritonitis (FIP)?,FIP virus (FIPV)
What is the molecular structure of Feline Infectious Peritonitis Virus?,"enveloped virus with a nonsegmented, positive sense, single-stranded RNA genome"
How is FECV detected in cats?,shedding in their faeces
What type of vaccine is used to protect against FIPV infection?,"an attenuated, temperature-sensitive strain of type II FIPV"
Why is their controversy surrounding the FIPV vaccine?,"the vaccine contains type 2 strain, whereas type 1 viruses are more prevalent in the field"
For how long was the denatured polyacrylamide gel polymerized?,30 minutes
How was the binding strength measured?,nano Isothermal Titration Calorimeter (ITC)
What was the focus of this study?, the anti-influenza A (H2N2) virus activity of patchouli alcohol
What do neuroaminidase inhibitors target?,NA glycoproteins of influenza A and B virus
What is the function of neuroaminidase in the influenza virus?,cleave the α-ketosidic linkage between terminal sialic acid and an adjacent sugar residue
What is Tamiflu?,NA inhibitor
What was the test for the level of cytotoxicity used in this study?,CC 50
What method was used to measure the inhibition of viral replication?,MTT method
